Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
LLP-5000,The Pat Boone Family,In The Holy Land,Lamb & Lion Records,"LP, Album, Spe",,1973,5281311,"12"" Vinyl",2022-02-17 15:28:40,,Fair (F),not the exact same - will need to create new.
LALP 22,Gregory Isaacs,Come Along,Live And Love,"LP, Album",,1988,7181761,"12"" Vinyl",2022-02-17 20:54:39,,No Cover,
FRM 205,Ernie Smith,Pitta Patta / Litchfield Garden,London Records,"7""",,1972,2966504,"7"" Vinyl",2022-02-20 10:50:50,,No Cover,label differences with this entry vs physical copy.
EQ 1001D,Raymondo (5),For The Good Times,Lord Koos,"12""",,0,12084083,"12"" Vinyl",2022-02-18 08:30:22,,No Cover,
916,Count Zebra,Bed-Bug (Calypso),Love (2),"7"", Single",,0,2683764,"7"" Vinyl",2022-02-20 09:41:42,,No Cover,"""N Spence"""
MC-007,Moses (28) / We The People Band,Your Love Has Gone / Cold Dub,M.C. Records (4),"12""",,0,3354728,"12"" Vinyl",2022-02-18 08:34:12,,No Cover,
"MLPS 9202, 9237 9202","Various, Jimmy Cliff",In The Harder They Come (Original Soundtrack Recording),"Mango, Island Records","LP, Comp, RE, Gat",,1975,6914400,"12"" Vinyl",2022-02-17 13:45:48,,Fair (F),
none,Prince Jazzbo & Larry Marshall,Your Love,Marshall (5),"7""",,1975,7782969,"7"" Vinyl",2022-02-20 09:58:21,,No Cover,"""NORM"""
MCA-13903,Stargard,"Theme Song From ""Which Way Is Up"" / Disco Rufus",MCA Records,"12""",,1977,4724757,"12"" Vinyl",2022-02-17 10:30:45,,No Cover,
MCA-13961,Musical Youth,Pass The Dutchie,MCA Records,"12""",5,1982,1117229,"12"" Vinyl",2022-02-17 07:49:51,,Good (G),
MCA-40251,Conway Twitty & Loretta Lynn,As Soon As I Hang Up The Phone,MCA Records,"7"", Single",,1974,11246409,"7"" Vinyl",2022-02-18 16:24:33,,No Cover,difference in colour of text on the record label.
MCA-52857,Michael McDonald,Sweet Freedom,MCA Records,"7"", Single",,1986,4365214,"7"" Vinyl",2022-02-18 13:55:07,,Fair (F),
73839,William Bell,Tryin' To Love Two / If Sex Was All We Had,Mercury,"7"", Single, Styrene, Pit",,1976,5107507,"7"" Vinyl",2022-02-19 12:28:39,,No Cover,
74054,Caroline Crawford,Tell Me You'll Wait / Caroline Breakdown,Mercury,"7"", Single",,1978,7031262,"7"" Vinyl",2022-02-19 12:22:46,,No Cover,
MDS-4013,Central Line,Walking Into Sunshine,Mercury,"12"", Ltd, 26",,1981,9748965,"12"" Vinyl",2022-02-17 16:11:06,,Fair (F),plain black outer jacket - 'Polygram Records' on the jacket. 
MM 0004,Cynthia Schloss,Red Rose,Merritone (2),"7""",,1980,5087162,"7"" Vinyl",2022-02-20 09:09:27,,No Cover,"""Andrew"""
"MICCAN 009, MIC-CAN-009",Gregory Isaacs,Mr. Isaaccs,"Micron Music Canada, Micron Music Limited","LP, Album",,1978,564503,"12"" Vinyl",2022-02-18 08:44:02,,Good (G),
RG 76-18,Pat Kelly & Tapper Zukie,Down New York City,Monica's Records,"7""",,0,11489570,"7"" Vinyl",2022-02-18 14:15:03,,No Cover,
MD 4512,Lionel Richie,All Night Long (All Night),Motown,"12""",,1983,1214947,"12"" Vinyl",2022-02-16 14:54:40,,Fair (F),
T 54278F,Thelma Houston,Don't Leave Me This Way,Motown,"7"", Single",,1976,1823074,"7"" Vinyl",2022-02-19 11:51:24,,No Cover,
none,The Tellers (2),Fat Beef,Mummy,"7""",,0,12951744,"7"" Vinyl",2022-02-18 14:06:23,,No Cover,B Side - my record does not include the song name when this entry does.
none,Sil Bell,Tease Me,Mummy,"7""",,0,3227230,"7"" Vinyl",2022-02-18 14:44:59,,No Cover,
MSB-6661,Al Green,The Lord Will Make A Way,Myrrh,"LP, Album",,1980,1884217,"12"" Vinyl",2022-02-16 09:15:08,,No Cover,
MST-6532-LP,Ray Price,"This Time, Lord",Myrrh,"LP, Album",,1975,4162549,"12"" Vinyl",2022-02-16 09:44:17,,,
none,Peter Scarlett & Fabulous Five Inc. / The New Dimension (3),Oh Dad / Samba Pati,New Dimension (2),"7""",,0,11467746,"7"" Vinyl",2022-02-20 08:28:37,,No Cover,
OC 401X,Donna Summer,Love To Love You Baby,Oasis,"7"", Single",,1975,1709314,"7"" Vinyl",2022-02-19 12:38:02,,No Cover,
O.H. 044,Dennis Brown,Dog Nyam You Supper,Ossie Records,"7""",,1997,5678898,"7"" Vinyl",2022-02-18 15:31:13,,No Cover,this entry record is pink. My record is Blue.
O.H. 045,Gregory Isaacs,Wondering,Ossie Records,"7""",,1997,7553325,"7"" Vinyl",2022-02-18 15:26:54,,No Cover,This entry is Pink - mine is blue. May need to create new entry.
none,"Cynthia Richards / Skin, Flesh & Bones",If You're Ready Come Go With Me / Yes I'm Ready,Parks,"7""",,0,1480691,"7"" Vinyl",2022-02-20 10:43:29,,No Cover,label difference with this entry vs physical copy.
"XPAS 71015, XPAS-71015",Engelbert Humperdinck,The Last Waltz,"Parrot, Parrot","LP, Album",,1967,17799814,"12"" Vinyl",2022-02-18 08:08:07,,Fair (F),
PG 025,The Sandpebbles Of Barbados,Eres Tu / Sweetley,Pebble Groove,"7""",,1973,20416837,"7"" Vinyl",2022-02-19 18:35:49,,No Cover,
PGSM 023,Sach Moore With The Sandpebbles Of Barbados,Happiest Days Of My Life / Ain't No Business Of Mine,Pebblegroove,"7"", Single",,1974,20631484,"7"" Vinyl",2022-02-19 17:42:56,,No Cover,Create new entry for Canada and delete this one from list.
PR 115,The Trade Winds (2),One Caribbean Souvenir,Penny (3),LP,,1974,8503295,"12"" Vinyl",2022-02-17 15:08:52,,Good (G),
none,Tony Rebel,War And Crime,Penthouse Records,"7""",,1991,3868242,"7"" Vinyl",2022-02-19 17:39:22,,No Cover,
none,Tanto Metro & Devonte,Aim For Your Goal,Penthouse Records,"7""",,1999,2290344,"7"" Vinyl",2022-02-19 18:13:24,,No Cover,
PH 143,Ras Shiloh,Child Of A Slave,Penthouse Records,"7""",,1996,4175862,"7"" Vinyl",2022-02-19 18:29:06,,No Cover,
"PE 608, 2066 215",Lyn Collins,Think (About It) / Ain't No Sunshine,"People (8), People (8)","7"", Single, Styrene, Phi",,1972,556164,"7"" Vinyl",2022-02-20 11:01:43,,No Cover,"""ROSE"""
none,Paul Powell (3),Gena,Phase One Records,"12""",,1979,3753054,"12"" Vinyl",2022-02-17 11:22:27,,No Cover,
ZS7 3520,Harold Melvin And The Blue Notes,If You Don't Know Me By Now / Let Me Into Your World,Philadelphia International Records,"7"", Single, Styrene, Pit",,1972,1672265,"7"" Vinyl",2022-02-19 16:35:30,,No Cover,
SPC-3222,Tennessee Ernie Ford,Standin' In The Need Of Prayer,Pickwick,"LP, RE",,1972,9178780,"12"" Vinyl",2022-02-16 14:17:46,,Good (G),
SPC-3308,Tennessee Ernie Ford,Amazing Grace,Pickwick/33 Records,"LP, Album, RE",,1967,4376812,"12"" Vinyl",2022-02-16 14:15:02,,Good (G),
none,Danny Ray (2) And Ranking Superstar / Carl Dawkins,Waiting In Vain / Right Time Of The Night,Pioneer,"12""",5,0,8934369,"12"" Vinyl",2022-02-17 13:58:36,,Fair (F),blank outer jacket
PION 5,Johnny Osbourne / Carlene Davis,When I Call Your Name / Right Time Of Night,Pioneer,"12""",,0,6830631,"12"" Vinyl",2022-02-16 12:49:27,,No Cover,
PION-O-2-DISCO,The Mexicano,Give Me A Little Loving,Pioneer,"12""",,0,6800069,"12"" Vinyl",2022-02-17 17:29:16,,No Cover,
"PIONR.INTL:005, INTL-005",Owen Gray,Hit After Hit After Hit - Vol. 2,"Pioneer International, Pioneer International","LP, Album",,0,8264773,"12"" Vinyl",2022-02-17 20:25:16,,Good (G),"Two albums, one marked with Dad's name."
"PIONR.INTL:005, INTL-005",Owen Gray,Hit After Hit After Hit - Vol. 2,"Pioneer International, Pioneer International","LP, Album",,0,8264773,"12"" Vinyl",2022-02-17 21:02:39,,Good (G),"Two albums, one marked with Dad's name."
PIONR-7,Carlene Davis,Wondering Now,Pioneer Records (3),"12"", Single",,0,14121012,"12"" Vinyl",2022-02-17 11:18:21,,Fair (F),
PP-001,Pablo Psalm / Andrew Ranks,All In The Game / Progress,Planters Paradise,"12""",,0,4642486,"12"" Vinyl",2022-02-16 09:24:53,,No Cover,
P-6101,Weapons Of Peace,Roots Mural Theme / Many Rains Ago (Oluwa) / This Life's (About To Get Me Down),Playboy Records,"7"", Single, Styrene",,1976,2198898,"7"" Vinyl",2022-02-18 16:17:24,,No Cover,
2065 097,Jimmy Osmond,If Santa Were My Daddy,Polydor,"7"", Single, Mono",,1971,7436572,"7"" Vinyl",2022-02-20 10:08:10,,Fair (F),
PRO 060,Various,Steppin' To Our Disco,Polydor,"LP, Comp, Mixed, Promo",,1978,804864,"12"" Vinyl",2022-02-16 14:11:48,,Good (G),
PL-006,Ronnie Butler & The Ramblers,Shot Gun Weddin' / Our Love,Pot Luck,"7"", Single",,1978,2989014,"7"" Vinyl",2022-02-20 10:14:59,,No Cover,
PD-100,Leslie Butler,Tae Kwando ,Prestige (5),"7""",,1976,5811376,"7"" Vinyl",2022-02-20 09:18:56,,No Cover,"""R.M"" ""55"" 
2ns copy"
PD-100,Leslie Butler,Tae Kwando ,Prestige (5),"7""",,1976,5811376,"7"" Vinyl",2022-02-20 09:28:42,,No Cover,"""NORM"" 
1st copy"
2263X,Kellee Patterson,"If It Don't Fit, Don't Force It / Be Happy",Quality,"7"", Single",,1977,3163328,"7"" Vinyl",2022-02-19 17:26:55,,No Cover,
QDC 19,Sugarhill Gang,Rapper's Delight,Quality,"12"", Single",,1979,3982097,"12"" Vinyl",2022-02-17 17:50:30,,Fair (F),
001,Jimmy Reid &  The Rocking Moments,Am So Fed Up / Rest Your Love On Me,R.B.M. Records,"12""",,0,3098986,"12"" Vinyl",2022-02-17 15:18:46,,Fair (F),
RA 2121,Mighty Sparrow,Calypso Time,Ra,"LP, Album",,1970,1564440,"12"" Vinyl",2022-02-17 14:55:47,,Fair (F),
APL1-1493,Blue Mitchell,Funktion Junction,RCA,"LP, Album",,1976,1622446,"12"" Vinyl",2022-02-17 13:07:52,,Fair (F),
CAS-2515,George Beverly Shea,May The Good Lord Bless And Keep You,RCA Camden,"LP, Album, RM",,1971,15962015,"12"" Vinyl",2022-02-18 13:01:28,,Good (G),
ANL1-2149,Wilson Pickett,Join Me And Let's Be Free,RCA Victor,"LP, Album, RE",,0,5532159,"12"" Vinyl",2022-02-18 08:16:58,,Fair (F),
LSP-4513,Charley Pride,Did You Think To Pray,RCA Victor,"LP, Album",,1971,19973119,"12"" Vinyl",2022-02-17 16:05:32,,Fair (F),
PB-50358,Alma Faye,"Stop, I Don't Need No Sympathy",RCA Victor,"7"", Single",,1977,2324561,"7"" Vinyl",2022-02-19 17:25:38,,No Cover,
XB-02061,KC & The Sunshine Band,That's The Way (I Like It),RCA Victor,"7"", Single",,1975,1195224,"7"" Vinyl",2022-02-19 17:23:56,,No Cover,"""Barb Spence"""
LM-2333,Mario Lanza,Lanza Sings Christmas Carols,RCA Victor Red Seal,"LP, Album, Mono, RE",,1959,10749770,"12"" Vinyl",2022-02-18 13:05:07,,Fair (F),
"51-8503, SL 8400",Various,Audiophile Collection,"Realistic, Capitol Special Markets","LP, Comp, Hal",,1981,6128015,"12"" Vinyl",2022-02-18 08:51:20,,Good (G),
RT-001,George Agard - The Pioneers,Riot In Notinhill,Record Theatre Of Canada,"12""",,0,3989634,"12"" Vinyl",2022-02-17 11:08:50,,Fair (F),
"REDEMPTION 0006, R 0006",Joseph Niles And The Consolers,Old Time Favourites,"Redemption (3), Redemption (3)","LP, Album",5,1977,22075375,"12"" Vinyl",2022-02-18 12:58:57,,Good (G),
none,Johnny P,Old Bruk,Redman International,"7"", Single",,1989,11198418,"7"" Vinyl",2022-02-18 15:01:58,,No Cover,
none,Shelton Walks & Ranking Joe,You're My Girl & Ital Spring,Reggae Connection,"12""",,1977,4439614,"12"" Vinyl",2022-02-17 11:11:57,,Fair (F),
"R-6140, R 6140",Dean Martin,The Door Is Still Open To My Heart,"Reprise Records, Reprise Records","LP, Album, Mono",,1964,7709332,"12"" Vinyl",2022-02-16 15:13:17,,No Cover,
LB 101150,Leroy Brown (2) / Leroy Brown & His Defence Force,Gypsy Girl / Hard To Live Without It,Rhythm Gits,"12""",,1981,5693851,"12"" Vinyl",2022-02-17 15:34:41,,Good (G),plain white outer jacket
QCOC 39111,Peter Tosh,Mystic Man,Rolling Stones Records,"LP, Album",,1979,2188798,"12"" Vinyl",2022-02-17 07:53:06,,Fair (F),
RS 19308,Peter Tosh,(You Got To Walk And) Don't Look Back,Rolling Stones Records,"7""",,1978,5418128,"7"" Vinyl",2022-02-18 14:03:47,,No Cover,
CSPS 812,Various,A Christmas Gift,Ronco,"LP, Comp",,1974,7312013,"12"" Vinyl",2022-02-16 08:52:53,,No Cover,
RS 913,Bee Gees,Too Much Heaven,"RSO, Polydor","7"", Single",,1978,3803885,"7"" Vinyl",2022-02-20 09:17:24,,No Cover,"""NORM SPENCE"""
S 1001,"Leroy Gibbons, Pat Perez",How 'Bout Us / I Love You (Instr.),S.I.G.H.T.,"12""",,1981,9106868,"12"" Vinyl",2022-02-17 18:27:19,,Fair (F),
DK 1006,Jay W. McGee / Skatalites Band,One Draw / One Draw Instrumental,Scorpio,"12""",,1981,2305885,"12"" Vinyl",2022-02-17 17:40:46,,Poor (P),
none,Cutty Ranks,Come Better,Shocking Vibes,"7""",,1990,685265,"7"" Vinyl",2022-02-18 15:05:26,,No Cover,
none,Cutty Ranks,The Bommer,Shocking Vibes,"7""",,1990,2807887,"7"" Vinyl",2022-02-18 15:06:27,,No Cover,
189,The Wallace Brothers,Lover's Prayer / Love Me Like I Love You,Sims Records,"7""",,1964,9494888,"7"" Vinyl",2022-02-20 08:43:47,,No Cover,"""NORM"""
none,Jimmy Crazy,Know Bout Gun,Sinbad Production,"7"", Single",,0,7459052,"7"" Vinyl",2022-02-19 18:19:57,,No Cover,
92 15130,Madonna,Vogue,"Sire, Warner Bros. Records","12"", Maxi",,1990,1116800,"12"" Vinyl",2022-02-16 15:04:34,,Good (G),
SRLP-702,The Speer Family,Songs You've Requested,Skylite,"LP, Album, Mono",,1958,9544251,"12"" Vinyl",2022-02-16 09:33:00,,No Cover,
none,Jack Radics,Can I Change Your Mind,Soljie,"7"", Single",,1997,5336273,"7"" Vinyl",2022-02-19 11:26:16,,No Cover,
none,Carlene Davis,Stealing Love On The Side,Sonic Sounds,"12""",5,1981,12853448,"12"" Vinyl",2022-02-17 20:36:16,,Good (G),Plain white jacket
SP 004,John Holt,Till I Am Gone,Soul Power (2),"7""",,0,2408052,"7"" Vinyl",2022-02-18 15:03:29,,No Cover,
BVL1-1844,Soul Train Gang (2),The Soul Train Gang,Soul Train,"LP, Album",,1976,1027338,"12"" Vinyl",2022-02-18 08:49:33,,Good (G),
SD-10906,Shalamar,Uptown Festival,Soul Train,"12""",,1977,1604575,"12"" Vinyl",2022-02-17 13:28:26,,Fair (F),outer jacket might not be the original
none,The Terrors / The Itals,Don't Bother Me / You Don't Care,Spiderman,"12""",,1978,7012068,"12"" Vinyl",2022-02-17 21:44:25,,Fair (F),Not sure if the is the original cover.
STA 076,Capleton,Can't Sleep At Night,Star Trail,"7""",,0,3200140,"7"" Vinyl",2022-02-19 18:28:04,,No Cover,
STA 0104,The Staple Singers,Respect Yourself / You're Gonna Make Me Cry,Stax,"7""",4,1971,5524230,"7"" Vinyl",2022-02-19 18:07:57,,No Cover,"""ROSE"""
STA-0125,The Staple Singers,I'll Take You There,Stax,"7"", Single, RP",,1972,13339654,"7"" Vinyl",2022-02-19 17:35:08,,No Cover,"""ROSE"""
STA-0127,Mel & Tim,Starting All Over Again / It Hurts To Want It So Bad,Stax,"7"", Single, Ame",,1972,2643843,"7"" Vinyl",2022-02-19 17:37:38,,No Cover,
"2194-88002, STX 88002",Isaac Hayes,Shaft,"Stax, Stax","2xLP, Album, RE, Gat",,1978,5531415,"12"" Vinyl",2022-02-17 07:59:48,,Good (G),
S - 041,Ernie Smith,Pitta Patta,Steady Records (2),"7""",,1972,6486991,"7"" Vinyl",2022-02-19 12:03:26,,No Cover,
none,Johnny P,Revenge,Sting,"7""",,0,4905773,"7"" Vinyl",2022-02-19 18:16:36,,No Cover,
200,Earnest Jackson,Love And Happiness / Hogwash,Stone Records,"7"", Single, Mon",,1973,3490592,"7"" Vinyl",2022-02-19 18:33:00,,No Cover,
GS 2634,Soca Explosion,Sugar Bum Bum / Disco Bum Bum,Straker's Records,"12"", Sin",,1978,1775102,"12"" Vinyl",2022-02-17 20:41:06,,No Cover,
SU-00013,Larry & Alvin / King Rocky,Nanny Goat / The King Is Back,Supreme Records (10),"7""",,0,3473937,"7"" Vinyl",2022-02-18 14:28:01,,No Cover,"Difference on record vs this entry. My Record ""Ja Music"". ""Jamaica Music"" on the record for this entry."
SUX 235,Bill Withers,Lean On Me,Sussex,"7"", Single",,1972,1929712,"7"" Vinyl",2022-02-19 16:32:45,,No Cover,
SW 101,Mighty Prince Galloway,Baughers Bay Men,Sweet Soca,"12""",,0,11132139,"12"" Vinyl",2022-02-16 09:59:29,,No Cover,
12K4 2012,Anita Ward,Ring My Bell / Make Believe Lovers,T.K. Records,"12"", Single",,1979,861581,"12"" Vinyl",2022-02-17 11:15:26,,Fair (F),
K4-2039,T-Connection,At Midnight,T.K. Records,"7""",,1978,6001193,"7"" Vinyl",2022-02-20 09:20:29,,No Cover,"""MERTON"""
TRD 41081,"Dennis Brown, Barry Brown",Unite Brotherman / One Way Lover,Tad's Record,"12""",,1981,18032233,"12"" Vinyl",2022-02-17 15:41:01,,Fair (F),not exact - need to create a new entry
G 7105,The Temptations,Just My Imagination (Running Away With Me),Tamla Motown,"7"", Single",,1970,3948197,"7"" Vinyl",2022-02-18 14:25:09,,No Cover,
S 35070,Junior Walker & The All Stars,Gotta Hold On To This Feeling ,Tamla Motown,"7"", Single, Mono",,1970,4197270,"7"" Vinyl",2022-02-20 09:32:38,,No Cover,print difference from this entry vs physical copy.
S 35078,Gladys Knight And The Pips,If I Were Your Woman,Tamla Motown,"7"", Single",,1970,8010962,"7"" Vinyl",2022-02-20 09:38:43,,No Cover,"""ROSE"""
T-54159,The Miracles,I Second That Emotion / You Must Be Love,Tamla Motown,"7"", Single",,1967,5148597,"7"" Vinyl",2022-02-20 09:34:29,,No Cover,"""ROSE"""
T-54207F,Marvin Gaye,Mercy Mercy Me (The Ecology),Tamla Motown,"7""",,1971,2075992,"7"" Vinyl",2022-02-20 09:37:21,,No Cover,"""ROSE"""
"T 314L, T314L",Stevie Wonder,Music Of My Mind,"Tamla Motown, Tamla Motown","LP, Album, Gat",,1972,907770,"12"" Vinyl",2022-02-17 07:56:23,,Good (G),
none,Various,King Tubbys Presents Soundclash Dubplate Style,Taurus,LP,,1988,1818807,"12"" Vinyl",2022-02-17 14:49:25,,Fair (F),
T 1003,Waynie Ranks,Love It,Taurus II,"12""",,1990,7188186,"12"" Vinyl",2022-02-18 08:06:25,,No Cover,
TA - 1058,Jim Reeves,Jim Reeves - 20 Greatest Hits,"Tee Vee International, Tee Vee Records Inc.","LP, Comp",,1976,11643565,"12"" Vinyl",2022-02-17 17:12:33,,Fair (F),Record face picture in this record is different from the record I have.
TA-1034,Charley Pride,Charley's Best,Tee Vee Records Inc.,"LP, Comp",,1976,2888423,"12"" Vinyl",2022-02-17 17:43:14,,Good (G),
TDWD 10,Jackie Edwards,Come To Me Softly,Third World,"LP, Album",,1979,7745006,"12"" Vinyl",2022-02-17 21:22:11,,Fair (F),modify or add new record. 
"TRI-3237, TRILP 3237",Dobby Dobson,Sweet Christmas,"Top Ranking International, Top Ranking International","LP, Album",,0,4272200,"12"" Vinyl",2022-02-18 13:27:17,,Good (G),
none,Jacob Miller,Natty Christmas,Top Ranking Sounds,"12"", MiniAlbum",,0,11001412,"12"" Vinyl",2022-02-20 11:20:06,,Poor (P),jacket different than the one in this entry
none,Bob Andy,Check It Out,Total Sounds,"7""",,1975,3692812,"7"" Vinyl",2022-02-20 09:07:38,,No Cover,"""NORM"""
"none, T.R. 5001",Delroy Wilson / Trinity (4) / Naggo Morris,Sweet For My Sweet / Sweet Sugar Plum Plum / Come Home Little Girl,"TR International, The Front Line","12""",,0,3408512,"12"" Vinyl",2022-02-17 18:24:04,,Fair (F),TR 4020 A
B 171,The Draytons Two,Gimme Back Me Dollar / I Need Your Love,Trex Records,"7"", Single, Mono",,0,8027876,"7"" Vinyl",2022-02-19 11:45:53,,No Cover,
TR-0100,Lord Spoon & David,Woman A Love In The Night Time / The World On A Wheel,Tropical Records (12),"7""",,1970,3926441,"7"" Vinyl",2022-02-18 14:47:27,,No Cover,
none,Chalice (3) And Lloyd Lovindeer,Pocomania Day / Dub Pocomania,TSOJ,"12""",,1989,4811144,"12"" Vinyl",2022-02-16 09:40:46,,No Cover,
SP 1976,Mighty Sparrow,Sparrow Vs The Rest,Tysott,LP,,1976,2291779,"12"" Vinyl",2022-02-18 08:46:39,,Fair (F),
VR007,Bim - Bam & Clover,Sweet Heart,Village Records (7),"7""",,1975,8487618,"7"" Vinyl",2022-02-20 10:40:04,,No Cover,label differences between this entry and physical copy.
"VS 1498, VS1498",Soul II Soul,Keep On Movin,"Virgin, 10 Records","7"", Single",5,1989,2445152,"7"" Vinyl",2022-02-18 13:50:39,,Fair (F),
9250-8521,John Ozila,Africa Goes Disco,Vogue,"LP, Album",,1978,2169531,"12"" Vinyl",2022-02-17 17:04:13,,Fair (F),edit entry to add photo or create new entry
none,Eek-A-Mouse,Wa Do Dem,Volcano,"7""",,0,3028892,"7"" Vinyl",2022-02-18 14:22:14,,No Cover,
none,Sister Nancy / Yellowman,Can't Test Nancy / Rub A Dub A Play,Volcano (6),"12""",,0,8491719,"12"" Vinyl",2022-02-17 21:07:56,,Good (G),"Plain Grey jacket.
Modify or create new entry to add number."
W 002,Brent Dowe,It Was Love,Warika,"7"", Whi",,1976,8144817,"7"" Vinyl",2022-02-20 09:44:24,,No Cover,"""NORM"""
War. 003,Toots & The Maytals,Image Get A Lick,Warika,"7""",,1976,2290234,"7"" Vinyl",2022-02-19 12:44:57,,No Cover,colour of label is different from this entry
WO 11,The Maytals,Give Us A Piece Of The Action / Virgo,Warika,"7"", Single",,1977,7362461,"7"" Vinyl",2022-02-20 09:49:34,,No Cover,
92 86627,Peter Cetera,Glory Of Love,Warner Bros. Records,"7"", Single",,1986,1722454,"7"" Vinyl",2022-02-18 15:42:00,,No Cover,
BSK 3240,Jimmy Cliff,Give Thankx,Warner Bros. Records,"LP, Album",,1978,3211002,"12"" Vinyl",2022-02-17 07:35:46,,Fair (F),
WBS 49511,Paul Simon,Late In The Evening,Warner Bros. Records,"7""",,1980,4109474,"7"" Vinyl",2022-02-20 09:22:54,,No Cover,"""NORM"" ""N Spence"""
WBS 8187,Paul Kelly (3),Play Me A Love Song / Stealing Love On The Side,Warner Bros. Records,"7"", RE",4,0,4423340,"7"" Vinyl",2022-02-20 09:25:00,,No Cover,"""N Spence"""
WBS 8332,Leo Sayer,When I Need You,Warner Bros. Records,"7"", Single, Win",,1976,1339145,"7"" Vinyl",2022-02-19 12:32:21,,No Cover,
92 84307,Club Nouveau,Lean On Me,"Warner Bros. Records, King Jay Records","7"", Single",,1986,1818030,"7"" Vinyl",2022-02-18 16:21:24,,No Cover,
none,Sonya Spence,Jet Plane,Webster Bros.,"7"", Single",,1975,12112118,"7"" Vinyl",2022-02-19 17:30:15,,No Cover,
WB 074,Eric Donaldson,Land Of My Birth,Weed Beat,"7""",,1978,7290314,"7"" Vinyl",2022-02-20 10:01:10,,No Cover,
342,Pluto Shervington,Ram Goat Liver,Wild Flower,"7""",,1974,2208929,"7"" Vinyl",2022-02-18 15:25:05,,No Cover,
none,The Meditations / Double D All Stars,Running From Jamaica / Running Dub,Wild Flower,"7""",,1976,4342201,"7"" Vinyl",2022-02-18 15:32:48,,No Cover,
none,Sophia George / Winner All Stars,Girlie Girlie / Girl Rush,Winner,"7""",,1985,7276459,"7"" Vinyl",2022-02-20 09:01:31,,No Cover,
B 500,Boo And The Tru Tones,You Sexy Thing,WIRL,"7""",,1975,4115415,"7"" Vinyl",2022-02-20 10:09:29,,No Cover,
W 245,St. Michael's Cathedral Choir,In Boston,WIRL,LP,,0,19643560,"12"" Vinyl",2022-02-18 12:47:16,,Good (G),
MMLP0013,Sluggy Ranks,Just Call Sluggy,Witty,"LP, Album, M/Print",,1987,18984763,"12"" Vinyl",2022-02-20 11:10:11,,No Cover,
VPRD 237,Carlene Davis,The First Word In Memory Is Me,WKS Records,"12""",,1985,2531395,"12"" Vinyl",2022-02-17 13:04:24,,Fair (F),outer sleeve - unsure if this is for the record
WELP 3040,Horace Andy,Fresh,World Enterprise Records,"LP, Album",,1988,5118520,"12"" Vinyl",2022-02-18 09:07:59,,No Cover,
none,Beres Hammond,Love Means (Remix),XTerminator,"7""",,1997,2044125,"7"" Vinyl",2022-02-20 09:30:29,,No Cover,
ZLP 817,George Beverly Shea,George Beverly Shea Sings,Zondervan,"LP, Album",,0,4235085,"12"" Vinyl",2022-02-17 16:21:45,,Fair (F),Not exact match to this record. Need to create a new record including pic
